,상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
2813,딥블루레이크 카페,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 팔달구 권광로 178,1층 (인계동)",경기도 수원시 팔달구 인계동 1124번지 1층,인계동,16488.0,37.2632740264,127.0330592015
2814,딩고,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 영통구 태장로54번길 166(망포동),경기도 수원시 영통구 망포동 599-1번지,망포동,16687.0,37.235271237,127.0550691466
2815,딩동,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 팔달구 화서문로45번길 12-4(장안동),경기도 수원시 팔달구 장안동 97-2번지,장안동,16250.0,37.28591693,127.01290638409999
2816,따땃,일반휴게음식-서양음식,일반휴게음식,서양음식,경기 수원시 팔달구 고화로 1181층 101호 (고등동),경기도 수원시 팔달구 고등동 285-6번지 1층 101호,고등동,16446.0,37.279798327600005,127.0068205951
2817,따뜻한수제버거,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 권선구 동수원로146번길 117101호 (곡반정동),경기도 수원시 권선구 곡반정동 511-3번지 골드하우스5 101호,곡반정동,16667.0,37.2453702878,127.03483841959999
2818,따로닭,일반휴게음식-스넥,일반휴게음식,스넥,"경기 수원시 장안구 조원로89번길 43-2,1층 101호 (조원동)",경기도 수원시 장안구 조원동 765번지 삼성축산 1층 101호,조원동,16286.0,37.2994240735,127.01395890219999
2819,따로닭 조원직영점,일반휴게음식-스넥,일반휴게음식,스넥,경기 수원시 장안구 조원로89번길 43-2삼성축산 1층 101호 (조원동),경기도 수원시 장안구 조원동 765번지 삼성축산 1층 101호,조원동,16286.0,37.2994240735,127.01395890219999
2820,따숩,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 영통구 아주로 8,1층 (원천동)",경기도 수원시 영통구 원천동 27-10번지 1층,원천동,16502.0,37.2755133319,127.0442069233
2821,따숩,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 경수대로446번길 48,2층 202호 (인계동,성지빌딩)",경기도 수원시 팔달구 인계동 1031-2번지 성지빌딩 2층 202호,인계동,16490.0,37.2651057574,127.0289877574
2822,따식이포차,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 권광로123번길 42,1층 (권선동)",경기도 수원시 권선구 권선동 1016-13번지 1층,권선동,16571.0,37.2596231686,127.0284580325
2823,딱!,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 매실로53번길 7(호매실동),경기도 수원시 권선구 호매실동 392-5번지,호매실동,16400.0,37.268104079299995,126.95667337469999
2824,딱막걸리한되,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 고산로 25(고색동),경기도 수원시 권선구 고색동 72-1번지,고색동,16650.0,37.2486923938,126.9817658558
2825,딱조아치킨,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 권선구 매송고색로 720-1,1층 (고색동)",경기도 수원시 권선구 고색동 49-10번지 1층,고색동,16649.0,37.2512140599,126.98331595719999
2826,딱한잔,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 정조로810번길 7-16,1층 (팔달로1가)",경기도 수원시 팔달구 팔달로1가 8-1번지 1층,팔달로1가,16257.0,37.2810134854,127.01733738840001
2827,땃따붓따영통2호점,일반휴게음식-주점,일반휴게음식,주점,"경기 수원시 영통구 봉영로 1569204호(영통동, 뉴월드프라자)",경기도 수원시 영통구 영통동 960-3번지 뉴월드프라자 204호,영통동,16703.0,37.2520691395,127.0710390017
2828,땅골식당,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 장다리로 304(인계동),경기도 수원시 팔달구 인계동 943번지,인계동,16484.0,37.2751818232,127.0308763667
