상호명,업종명,업종대분류,업종소분류,소재지도로명주소,소재지지번주소,동명,우편번호,위도,경도
월매랑,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 갓매산로55번길 6(매산로2가),경기도 수원시 팔달구 매산로2가 15-4번지,매산동,16455,37.26932219,127.0041933
월매랑삼겹이랑,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 화산로213번길 111층 (율전동),경기도 수원시 장안구 율전동 288-2번지 1층,율전동,16417,37.29903176,126.9728455
월명아구찜추어탕,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 권선구 금곡로212번길 13,202호 (금곡동,에이치와이프라자)",경기도 수원시 권선구 금곡동 1117-4번지 에이치와이프라자 202호,금곡동,16393,37.27365443,126.954231
월식당,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 팔달문로3번길 42(남수동),경기도 수원시 팔달구 남수동 114-3번지,남수동,16257,37.27942013,127.0178552
월악산.할매보쌈,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 장안구 경수대로994번길 7(송죽동),경기도 수원시 장안구 송죽동 213-1번지,송죽동,16298,37.30599548,127.003174
월악상회,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 팔달구 매산로 2-10.224호,경기도 수원시 팔달구 매산로1가 57-3번지 역전시장 224호,매산동,16461,37.26627677,127.0023524
월야,일반휴게음식-주점,일반휴게음식,주점,"경기도 수원시 영통구 영통로102번길 37-18,104호, 105호(망포동)","경기도 수원시 영통구 망포동 538-3번지 104호, 105호",망포동,16692,37.23927482,127.0578416
월출산흑염소탕,일반휴게음식-일반한식,일반휴게음식,일반한식,경기 수원시 권선구 고산로4번길 43(고색동),경기도 수원시 권선구 고색동 306-16번지,고색동,16649,37.24749863,126.9849988
월화주가,일반휴게음식-일반한식,일반휴게음식,일반한식,"경기 수원시 팔달구 권광로207번길 39,1층 103호 (인계동)",경기도 수원시 팔달구 인계동 1039-1번지 1층 103호,인계동,16489,37.26642165,127.031224
웨어하우스,일반휴게음식-서양음식,일반휴게음식,서양음식,"경기 수원시 영통구 법조로 38,B32호 (하동)",경기도 수원시 영통구 하동 1019번지 광교더샵레이크파크 B32호,하동,16514,37.28697622,127.0625716
